,,,4.2.7.5 Incident diagnosis,,,,,L4,,,,
,,,4.2.7.6 Incident classification,,,,,L4,,,,
,,,4.2.7.7 Incident investigation,,,,,L4,,,,
,,,4.2.7.8 Incident support,,,,,L4,,,,
,,,4.2.7.9 Incident resolution,,,,,L4,,,,
,,,4.2.7.10 Incident recovery,,,,,L4,,,,
,,,4.2.7.11 Incident closure,,,,,L4,,,,
,,,4.2.7.12 Monitor & Manage  Incident information,,,,,L4,,,,
,,,4.2.7.13 Manage Critical Situation ,,,,,L4,,,,
,,,,4.2.7.13.1 CritSit Record Creation,,,,L5,,,,
,,,,4.2.7.13.2 CritSit Escalation,,,,L5,,,,
,,,,4.2.7.13.3 CritSit Support Means Enhanced Offering,,,,L5,,,,
,,,,4.2.7.13.4 Support Dispatching,,,,L5,,,,
,,,,4.2.7.13.5 Service Request Management,,,,L5,,,,
,,,,4.2.7.13.6 Problem Resolution,,,,L5,,,,
,,,4.2.7.14 Manage Call,,,,,L4,,,,
,,,,4.2.7.14.1 Phone Call Acceptance,,,,L5,,,,
,,,,4.2.7.14.2 Call Routing (to destination using call handling/routing rules),,,,L5,,,,
,,,,4.2.7.14.3 Call Routing To Handling Resource (Agent/Automated System),,,,L5,,,,
,,,,4.2.7.14.4 Call Tracking,,,,L5,,,,
,,,,4.2.7.14.5 Electronic Message Acceptance,,,,L5,,,,
,,,,4.2.7.14.6 Deliver Chat Incidents,,,,L5,,,,
,,,,4.2.7.14.7 Open incidents online and provide detail regarding request.  Must automatically route to appropriate queue based on request type.,,,,L5,,,,
,,,,4.2.7.14.8 Deliver TTY (Hearing Impaired) Incidents,,,,L5,,,,
,,,,4.2.7.14.9 Fax Incidents Acceptance,,,,L5,,,,
,,,4.2.7.15 Manage Problems,,,,,L4,,,,
,,,4.2.7.16 Manage Request Fulfillment,,,,,L4,,,,
,,4.2.8 Reset Password ,,,,,,L3,,,,
,,4.2.9 Provide Fax Response,,,,,,L3,,,,
,,4.2.10 Recommend Auto Solution ,,,,,,L3,,,,
,,4.2.11 Facilitate Community Support,,,,,,L3,,,,
,,4.2.12 Interactive Partner\Customer Assistance,,,,,,L3,,,,
,,,4.2.12.1 Dialog Establishment,,,,,L4,,,,
,,,4.2.12.2 Service Request Creation and Tracking,,,,,L4,,,,
,,,4.2.12.3 Scope Identification,,,,,L4,,,,
,,,,4.2.12.3.1 Research Action Plan Development,,,,L5,,,,
,,,4.2.12.4 Service Request Troubleshooting and Diagnose,,,,,L4,,,,
,,,4.2.12.5 Resolution Delivery to Partner\Customer,,,,,L4,,,,
,,,4.2.12.6 Solution Integrity Verification,,,,,L4,,,,
,,,4.2.12.7 Request Closure,,,,,L4,,,,
,,,,4.2.12.7.1 Provide Resolution Data,,,,L5,,,,
,,4.2.13 Create and Manage Support Scripts ,,,,,,L3,,,,
,,,4.2.13.1 Notification Scripts Development and Management,,,,,L4,,,,
,,,4.2.13.2 Escalation Scripts Development and Management,,,,,L4,,,,
,,,4.2.13.3 Escalation and Notification Scripts Deployment,,,,,L4,,,,
,,4.2.14 Provision Proactive Support Services ,,,,,,L3,,,,
,,4.2.15 Manage Field Support ,,,,,,L3,,,,
,,4.2.16 Manage Remote Support ,,,,,,L3,,,,
,,4.2.17 Manage Call Center/Service Desk,,,,,,L3,,,,
,,,4.2.17.1 Manage Costs and Charges,,,,,L4,,,,
,4.3 Manage Field Service ,,,,,,"The processes surrounding both the proactive and reactive support of a Partner\Customer once a product service has been delivered to a Partner\Customer, such as when a product under warranty may be inoperable and need a replacement part or a Partner\Customer may be dissatisfied ",L2,,,,
,,4.3.1 Reimburse Claim,,,,,"If a Partner\Customer purchases a product service that breaks or requires out of pocket repair costs, and is under warranty, the Partner\Customer can submit a claim and receive a reimbursement.",L3,,,,
,,4.3.2 Process Warranty,,,,,After-Sales service department processes warranty claims received and records the information into the service knowledge base to build supporting product service improvement suggestions.,L3,,,,
,,4.3.3 Manage Service Mailings ,,,,,"Service mailing plan is created (content, pre-determined time intervals, intended audience) and executed.  ",L3,,,,
,,4.3.4 Respond to Partner\Customer Service Inquiries,,,,,Support group responds to and tracks Partner\Customer service inquiries.  Responses are stored in the support knowledge base for future use by other members of the support group.,L3,,,,
,,4.3.5 Schedule and Dispatch Service Orders,,,,,The service group manages the scheduling and dispatching of service order fulfillment providers to ensure resource time maximization.,L3,,,,
,,4.3.6 Manage Product Improvement Suggestions ,,,,,Product improvement  suggestions and or quality issues are gathered from repeat service requests and compiled into a list that is forwarded to the 'Marketing' or 'Product Service Development' group as grounds for further research.,L3,,,,
,,4.3.7 Create and Manage Service Knowledge Base,,,,,"Support group records Partner\Customer interactions (RFIs, RFQ's, complaints, etc..) and their resolutions into the knowledge base to provide decision support for future Partner\Customer interactions. ",L3,,,,
,,4.3.8 Manage Returns and Replacements ,,,,,"If a Partner\Customer receives a product service that breaks or is unsatisfactory, and is under warranty, the Partner\Customer can receive a replacement or simply return the product.",L3,,,,
,,4.3.9 Manage Depot ,,,,,Field service agent is responsible for managing his her personal spare part inventory levels.  All inventory needs to be accounted for and should be managed with a replenishment plan so the agent is continuously equipped to do the assigned jobs.,L3,,,,
,4.4 Manage Professional Services ,,,,,,Provide additional services such as consulting.  The purpose of professional services is to provide additional expertise to Partner\Customers as well as provide an additional revenue stream.,L2,,,,
,,4.4.1 Administer Professional Services,,,,,,L3,,,,
,,,4.4.1.1 Services Activity and Revenue Forecasting,,,,,L4,,,,
,,,4.4.1.2 Resource Management,,,,,L4,,,,
,,,,4.4.1.2.1 Create Resource Request,,,,L5,,,,
,,,,4.4.1.2.2 Pool Resources,,,,L5,,,,
,,,,,Regional Resources,,,n/a,,,,
,,,,,Global Resources,,,n/a,,,,
,,,,,Create and Distribute Available Resource List,,,n/a,,,,
,,,,4.4.1.2.3 Propose Resources,,,,L5,,,,
,,,,,Match Resource & Skills,,,n/a,,,,
,,,,4.4.1.2.4 Manage Skill & Experience,,,,L5,,,,
,,,,4.4.1.2.5 Manage Immigration Profile,,,,L5,,,,
,,,,4.4.1.2.6 Commit Resource,,,,L5,,,,
,,,,,Book Resource,,,n/a,,,,
,,,,,Arrange Cross-Border Assignment,,,n/a,,,,
,,,,4.4.1.2.7 Release Resource,,,,L5,,,,
,,,,4.4.1.2.8 Manage Staffing Pipeline,,,,L5,,,,
,,,,,Review Bench Report,,,n/a,,,,
,,,,,Review Utilization Metrics,,,n/a,,,,
,,,,,Train Resources,,,n/a,,,,
,,,4.4.1.3 Cost and Bill Rates Management,,,,,L4,,,,
,,,4.4.1.4 Policies Management,,,,,L4,,,,
,,4.4.2 Provision  Services Engagement,,,,,Perform any configuration or initial setup required to activate service.  Provide or outsource a service to a Partner\Customer.,L3,,,,
,,4.4.3 Manage Engagement ,,,,,,L3,,,,
,,,4.4.3.1 Plan Engagement,,,,,L4,,,,
,,,,4.4.3.1.1 Review Proposal and SOW / Contract,,,,L5,,,,
,,,,4.4.3.1.2 Plan Resources,,,,L5,,,,
,,,,4.4.3.1.3 Plan Logistics,,,,L5,,,,
,,,,4.4.3.1.4 Review Engagement Request,,,,L5,,,,
,,,4.4.3.2 Setup Engagement,,,,,L4,,,,
,,,,4.4.3.2.1 Create Account,,,,L5,,,,
,,,,4.4.3.2.2 Setup Validation Report,,,,L5,,,,
,,,,4.4.3.2.3 Setup Invoicing,,,,L5,,,,
,,,,4.4.3.2.4 Setup Billing,,,,L5,,,,
,,,,4.4.3.2.5 Setup Delivery Methods,,,,L5,,,,
,,,,4.4.3.2.6 Identify Success Criteria,,,,L5,,,,
,,,,4.4.3.2.7 Setup Resource Backup,,,,L5,,,,
,,,,4.4.3.2.8 Setup Expenses,,,,L5,,,,
,,,,4.4.3.2.9 Work Location/ Codes,,,,L5,,,,
,,,4.4.3.3 Maintain Engagement,,,,,L4,,,,
,,,,4.4.3.3.1 Modify Engagement,,,,L5,,,,
,,,4.4.3.4 Close Engagement,,,,,L4,,,,
,,,4.4.3.5 Renew Engagement,,,,,L4,,,,
,,,4.4.3.6 Technical Quality Assurance Engagement,,,,,L4,,,,
,,,4.4.3.7 Team Commissions Management,,,,,L4,,,,
,,,4.4.3.8 Engagement Conditions Maintenance,,,,,L4,,,,
,,,4.4.3.9 Engagement Price Calculation,,,,,L4,,,,
,,4.4.4 Manage Services Project ,,,,,,L3,,,,
,,,4.4.4.1 Project change management,,,,,L4,,,,
,,,"4.4.4.2 Project Methodology (MSF, MOF, ITIL, etc) Management",,,,,L4,,,,
,,,4.4.4.3 Project reporting and communications,,,,,L4,,,,
,,,4.4.4.4 Project Risk Management,,,,,L4,,,,
,,,4.4.4.5 Master project plan and timeline Development,,,,,L4,,,,
,,,4.4.4.6 Document Management,,,,,L4,,,,
,,,4.4.4.7 Project cost management,,,,,L4,,,,
,,,4.4.4.8 Project Resource Management,,,,,L4,,,,
,,,4.4.4.9 Third Party Management,,,,,L4,,,,
,,4.4.5 Manage Services Delivery,,,,,,L3,,,,
,,,4.4.5.1 Improve Service Delivery Process ,,,,Streamline the service delivery process by analyzing the critical path to delivery and removing any unnecessary obstacles.,L4,,,,
,,,4.4.5.2 Manage Service Supporting Systems ,,,,Monitor the efficiency of service supporting equipment and schedule routine maintenance and upgrades.,L4,,,,
,,,4.4.5.3 Track and Manage Service Delivery,,,,Manage the service delivery process by setting target performance goals and looking for opportunities to improve delivery and quality.,L4,,,,
,,,4.4.5.4 Manage Services Utilization ,,,,,L4,,,,
,4.5 Manage Communities,,,,,,"Role management including commitment and target development, community development, sharing of best practices amongst community members.",L2,,,,
,,4.5.1 Manage User Community ,,,,,Support for community involving end-users of a product or service.,L3,,,,
,,4.5.2 Manage Partner Community ,,,,,Support for the community involving partners that support customers and end-users.,L3,,,,
,,4.5.3 Manage Customer Community ,,,,,"Support for defining and managing a community of customers, which may or may not be the end-user (i.e., corporations, small businesses.)",L3,,,,
,,4.5.4 Manage Developer Community ,,,,,Support for defining and managing the community of developers that work with Microsoft products in order to create products and solutions for customers.,L3,,,,
,,4.5.5 Manage Internal Community ,,,,,"Support for defining and managing the communities within the internal organization, often sub-divided by role or subject, to share best practices, problem-solving techniques, etc.",L3,,,,
,,4.5.6 Manage Blogs ,,,,,,L3,,,,
,,4.5.7 Manage Forums ,,,,,,L3,,,,
,,4.5.8 Manage Participants,,,,,,L3,,,,
,4.6 Manage Entitlements/Licenses,,,,,,An Entitlement is a type of Right to a Product Offering that must be claimed by an End Customer in order to obtain its value.,L2,,,,
,,4.6.1 Provision Entitlement ,,,,,,L3,,,,
,,4.6.2 Manage Subscription Entitlement ,,,,,,L3,,,,
,,4.6.3 Manage License Position Entitlement ,,,,,,L3,,,,
,,4.6.4 Manage Warranty Entitlement ,,,,,,L3,,,,
,,4.6.5 Manage Support Entitlement ,,,,,,L3,,,,
,,4.6.6 Manage Eligibility Entitlement ,,,,,Ability to determine if a customer or partner is entitled or qualified and meets the conditions to receive a given obligation.,L3,,,,
,,4.6.7 Track Usage Entitlement ,,,,,"Ability to track the consumption of a given obligation. For instance, tracking the number of support hours used, subscriptions downloaded, etc.",L3,,,,
,,,4.6.7.1 Account/Entitlement Decrement,,,,,L4,,,,
,,,4.6.7.2 Agreement Benefits Consumption Management,,,,"This is not an entitlement, but the benefits to the customer or partner based upon CONSUMPTION of an obligation.",L4,,,,
,4.7 Manage Customer/Partner Satisfaction ,,,,,,"Ability to collect, analyze and act on customer partner satisfaction data",L2,,,,
,,4.7.1 Collect Partner\Customer Satisfaction Information ,,,,,,L3,,,,
,,,4.7.1.1 Partner\Customer Satisfaction Survey Execution,,,,,L4,,,,
,,,4.7.1.2 Products and Services Satisfaction Monitoring,,,,,L4,,,,
,,,4.7.1.3 Complaint Resolution Satisfaction Monitoring,,,,,L4,,,,
,,,4.7.1.4 Satisfaction with Communication Monitoring,,,,,L4,,,,
,,,4.7.1.5 Quality Issues Tracking,,,,,L4,,,,
,,,4.7.1.6 Complaints Tracking,,,,,L4,,,,
,,,4.7.1.7 Feedback Tracking,,,,,L4,,,,
,,4.7.2 Analyze Partner\Customer Satisfaction Root Cause ,,,,,Ability to analyze Partner\Customer satisfaction information for root cause,L3,,,,
,,4.7.3 Develop Satisfaction Improvement Plans ,,,,,,L3,,,,
,,4.7.4 Respond to Partner\Customer Feedback and Complaints ,,,,,,L3,,,,
,,,4.7.4.1 Complaint Documentation,,,,,L4,,,,
,,,4.7.4.2 Complaint Analysis,,,,,L4,,,,
,,,4.7.4.3 Complaint Resolution,,,,,L4,,,,
,4.8 Manage  Manufacturing or Supply Planning,,,,,,"Ability to reduce operating costs, lead times, and inventory and increase the speed of delivery, product availability, and customer satisfaction",L2,,,,
,,4.8.1 Plan Product ,,,,,,L3,,,,
,,,4.8.1.1 Product Availability Monitoring,,,,"The amount of inventory that is available for sale.  Possible categories could include inventory on the floor, in transit, at the DC, or on order from a vendor.",L4,,,,
,,,4.8.1.2 Assortment Planning,,,,"Defining the optimal category mix or features to achieve financial goals.  Category mix should be determined by looking at industry analysis, historical performance, and strategic objectives.",L4,,,,
,,,4.8.1.3 Liquidation Management,,,,"The process and planning that goes into turning capital back into cash.  The main factors to consider are timing, depth of discount, and location.",L4,,,,
,,4.8.2 Plan Demand ,,,,,,L3,,,,
,,,4.8.2.1 Partner\Customer/Retail Analysis/Consolidation,,,,Use statistical correlation's between POS data tracked at the top key accounts and total Sell-Through ,L4,,,,
,,,4.8.2.2 Market Analysis/Consolidation,,,,Utilization of 3rd party syndicated market information for impacts on demand,L4,,,,
,,,4.8.2.3 Demand Historical/Empirical Analysis,,,,"Forecast generated using demand history that most closely represents ""Consumer Demand"" to develop statistical baseline and incorporate market intelligence and trends",L4,,,,
,,,4.8.2.4 Forecast Aggregation Allocation,,,,Apply multiple forecasting algorithms to create a best fit model based on actual order demand   history.,L4,,,,
,,,4.8.2.5 Causal Modeling,,,,Forecasts can be generated based on leading indicators or known event factors (e.g. fuel demand is based on number of trucks * average miles driven * gallons   mile),L4,,,,
,,,"4.8.2.6 Product and Market Phase ""IN"" Management with Supply Chain Analysis",,,,Utilization of early demand signals or leading indicators for new products to extrapolate total demand and apply to PLC curve ,L4,,,,
,,,"4.8.2.7 Product and Market Phase ""Out"" Management with Supply Chain Analysis",,,,"Modify and apply practices to ensure the demand stream accurately reflects products no longer being sold and integrate with supply practices (inventory, manufacturing) to execute liquidation or sell through strategies to deplete remaining inventory. (dust",L4,,,,
,,,4.8.2.8 Promotional Planning with Supply Chain Analysis,,,,"Incorporate promotional events (advertising, price discounts, etc.) to understand demand implications and integrated supply planning implications. The integration to supply planning allows for visibility of supply capabilities to fulfill additional demand",L4,,,,
,,,4.8.2.9 Demand Plan Consensus Development,,,,"Consensus demand plan can also part of an Sales and Operational Planning (S&OP) process. The process allows for key groups, individuals, and areas to jointly agree on the plan the company will execute. Individuals involved are the key stakeholders who have",L4,,,,
,,,4.8.2.10 Forecast Performance Tracking and Measurement,,,,Forecast error monitored and reported at all product levels.,L4,,,,
,,4.8.3 Plan Supply & Product Capacity ,,,,,"In a multi-tenancy environment, how many tenants can be on a server servers",L3,,,,
,,,4.8.3.1 Demand & Supply Matching,,,,"Supply Alignment to manage manufacturing cost and plant constraints (capacity, inventory, raw materials, storage, etc.) to meet demand requirements.",L4,,,,
,,,4.8.3.2 Demand Fulfillment Forecast Netting,,,,Apply rules to determine usage of orders and forecast in driving a demand stream to match against available supply. (Example: Use only orders for the first two months when  production is frozen which allows a build to order. Plan to forecast after the fir,L4,,,,
,,,4.8.3.3 Distribution Requirements Planning,,,,"Distribution Planning creates unconstrained manufacturing requirements and distribution requirements based on the demand forecast, inventory planning parameters and the distribution network. ",L4,,,,
,,,4.8.3.4 Replenishment Planning,,,,Replenishment planning is a business practice to plan for replenishments by actual sales and model stocks. Companies may use replenishment planning to work with other trading partners to manage inventory and replenish at POS (VMI).  ,L4,,,,
,,,4.8.3.5 Capacity Planning,,,,"Model trade-offs between optimal capacity, leveling alternatives, and sub-optimal alternatives in conjunction to cost implications and service requirements",L4,,,,
,,,4.8.3.6 Master Production Schedule Development,,,,Master Production Schedule is a rough-cut capacity planning (i.e. overall plant capacity not accounting for capacity of individual machines for each production step) to develop a constrained and feasible schedule for production.,L4,,,,
,,,4.8.3.7 Master Requirements Planning,,,,Material requirements planning (MRP) tool used weekly to plan ~3 to 6 month time horizon at SKU level linked to the required manufacturing schedule (MPS). ,L4,,,,
,,,4.8.3.8 Performance Tracking and Measurement,,,,"Measure Key Performance Indicators (KPI's) with emphasis placed on plan to actual for meeting demand requirements. How well was manufacturing utilization, inventory targets, and customer service levels optimized?",L4,,,,
,,,4.8.3.9 Network Strategic Modeling,,,,"Apply strategies that companies use to determine optimal location  of plants and warehouses, and for creating a complete fulfillment network for their products. ",L4,,,,
,,4.8.4 Plan Inventory ,,,,,,L3,,,,
,,,4.8.4.1 Inventory Rules (Safety Stock) Definition,,,,Define Inventory policies and strategies which tie directly to customer service requirements ,L4,,,,
,,,4.8.4.2 Excess and Obsolete Inventory Management Planning,,,,Define practices and strategies to identify exceptions for excess or obsolete inventory. ,L4,,,,
,,,4.8.4.3 Project Inventory/On Hand/ATP Management Planning,,,,Integrate with inventory system to provide ability to view actual inventory and planned receipts. Provide capabilities to view customer orders and provide accurate available to promise quotes for delivery. Integrate with inventory to system to provide res,L4,,,,
